yourlist:M202203094ABAA9BC7178C81CEBC9459510EDDEA3457CB9G	Entry
TIMP2_HUMAN	P16035
ANGT_HUMAN	P01019
PGAM1_HUMAN	P18669
SULF2_HUMAN	Q8IWU5
ROA1_HUMAN	P09651
NAC2_HUMAN	Q9UPR5
TIMP1_HUMAN	P01033
CO4B_HUMAN	P0C0L5
GLT16_HUMAN	Q8N428
CNTP4_HUMAN	Q9C0A0
JAM3_HUMAN	Q9BX67
NSG1_HUMAN	P42857
JAM2_HUMAN	P57087
HBA_HUMAN	P69905
GLDN_HUMAN	Q6ZMI3
SIAT2_HUMAN	Q96JF0
LFG2_HUMAN	Q9BWQ8
COL12_HUMAN	Q5KU26
A4_HUMAN	P05067
CAH1_HUMAN	P00915
CNTN2_HUMAN	Q02246
CADH6_HUMAN	P55285
PEBP4_HUMAN	Q96S96
CNTN1_HUMAN	Q12860
HABP2_HUMAN	Q14520
FBLN3_HUMAN	Q12805
CH3L1_HUMAN	P36222
AMD_HUMAN	P19021
APLP1_HUMAN	P51693
1433G_HUMAN	P61981
LRP1_HUMAN	Q07954
FBLN2_HUMAN	P98095
CRAC1_HUMAN	Q9NQ79
SEM4B_HUMAN	Q9NPR2
ENPP2_HUMAN	Q13822
UBB_HUMAN	P0CG47
UBC_HUMAN	P0CG48
ICOSL_HUMAN	O75144
CATD_HUMAN	P07339
CO3A1_HUMAN	P02461
COCH_HUMAN	O43405
APOD_HUMAN	P05090
CRIP1_HUMAN	P50238
PDIA3_HUMAN	P30101
ITIH4_HUMAN	Q14624
PCDC2_HUMAN	Q9Y5I4
ITIH3_HUMAN	Q06033
MT1G_HUMAN	P13640
MANEL_HUMAN	Q5VSG8
CATZ_HUMAN	Q9UBR2
CNTFR_HUMAN	P26992
CBPQ_HUMAN	Q9Y646
MGP_HUMAN	P08493
CALM_HUMAN	P0DP30
CALM_HUMAN	P0DP31
CALM_HUMAN	P0DP33
CALM_HUMAN	P0DP23
CALM_HUMAN	P0DP34
CALM_HUMAN	P0DP24
CALM_HUMAN	P0DP35
CALM_HUMAN	P0DP25
CALM_HUMAN	P62160
CALM_HUMAN	P62144
CALM_HUMAN	P62156
CALM_HUMAN	P62146
CALM_HUMAN	P62157
CALM_HUMAN	P62150
CALM_HUMAN	P62151
CALM_HUMAN	P0DP26
CALM_HUMAN	P0DP27
CALM_HUMAN	P0DP28
CALM_HUMAN	P0DP29
CALM_HUMAN	P62149
CGRE1_HUMAN	Q99674
ANT3_HUMAN	P01008
AUGN_HUMAN	Q9H1Z8
CFAI_HUMAN	P05156
GPX3_HUMAN	P22352
SPRC_HUMAN	P09486
CFAH_HUMAN	P08603
CAB45_HUMAN	Q9BRK5
GOLI4_HUMAN	O00461
CSTN1_HUMAN	O94985
SFRP3_HUMAN	Q92765
EMIL1_HUMAN	Q9Y6C2
PMGT1_HUMAN	Q8WZA1
CAD13_HUMAN	P55290
SMS_HUMAN	P61278
S39AA_HUMAN	Q9ULF5
SCG1_HUMAN	P05060
PGK1_HUMAN	P00558
SH3L1_HUMAN	O75368
APLP2_HUMAN	Q06481
CRP_HUMAN	P02741
TYB4_HUMAN	P62328
R4RL2_HUMAN	Q86UN3
CTGF_HUMAN	P29279
DPP2_HUMAN	Q9UHL4
CATF_HUMAN	Q9UBX1
DYL2_HUMAN	Q96FJ2
SLIK1_HUMAN	Q96PX8
PITH1_HUMAN	Q9GZP4
FHR2_HUMAN	P36980
RNT2_HUMAN	O00584
SGCE_HUMAN	O43556
APOE_HUMAN	P02649
MOES_HUMAN	P26038
F19A5_HUMAN	Q7Z5A7
CCL2_HUMAN	P13500
CONA1_HUMAN	Q86Y22
ITIH5_HUMAN	Q86UX2
ITM2B_HUMAN	Q9Y287
FINC_HUMAN	P02751
EFNB2_HUMAN	P52799
DSC2_HUMAN	Q02487
K1C10_HUMAN	P13645
NELL2_HUMAN	Q99435
OVCH1_HUMAN	Q7RTY7
1A74_HUMAN	P04439
RELN_HUMAN	P78509
NOV_HUMAN	P48745
AEBP1_HUMAN	Q8IUX7
GLU2B_HUMAN	P14314
PCP_HUMAN	P42785
ZP2_HUMAN	Q05996
CSTN3_HUMAN	Q9BQT9
C1R_HUMAN	P00736
FCGBP_HUMAN	Q9Y6R7
I18BP_HUMAN	O95998
PROF1_HUMAN	P07737
CSTN2_HUMAN	Q9H4D0
TM59L_HUMAN	Q9UK28
SFRP4_HUMAN	Q6FHJ7
ECM1_HUMAN	Q16610
CAD15_HUMAN	P55291
NRX3A_HUMAN	Q9Y4C0
BTD_HUMAN	P43251
SCG3_HUMAN	Q8WXD2
CALL5_HUMAN	Q9NZT1
PTPRR_HUMAN	Q15256
SCG2_HUMAN	P13521
DIAC_HUMAN	Q01459
SH3L3_HUMAN	Q9H299
OMGP_HUMAN	P23515
FBLN5_HUMAN	Q9UBX5
SE6L1_HUMAN	Q9BYH1
PENK_HUMAN	P01210
PCOC1_HUMAN	Q15113
PCDH1_HUMAN	Q08174
SYUG_HUMAN	O76070
KLK6_HUMAN	Q92876
S10A6_HUMAN	P06703
CATH_HUMAN	P09668
K154L_HUMAN	Q6ZVL6
CLUS_HUMAN	P10909
RNAS1_HUMAN	P07998
FABPH_HUMAN	P05413
AGRIN_HUMAN	O00468
